PERIODO,MAT_CUR,CAMPUS_ALUMNO,BLOQUE,ID_ALUMNO,CALIFICACIONES_ALUMNO,CALIFICACIONES_EXIGIBLES,CALIFICACIONES_CURSO,RANGO_CALIFICACIONES,PORC_CALIFICACIONES_EXIGIBLES,PORC_CALIFICACIONES_REALIZADAS,ULTIMA_ENTREGA_ALUMNO,ULTIMA_CALIFICACION_CURSO,ASISTENCIA,HRS_ACCESO,DIAS_ACCESO,PRIMER_ACCESO_ALUMNO_CURSO,ULTIMO_ACCESO_ALUMNO_CURSO,ULTIMO_ACCESO_ALUMNO_PERIODO,ULTIMO_ACCESO_CURSO,INICIO_CURSO,FIN_CURSO,NRC,LC,ID_INST
202100,CCAU-940,CFP PIURA,,1416327,0,1,1,,0,0,,,,,,,,11/23/2021,,11/15/2021,11/22/2021,,AU,
202103,PDCC-204,CFP PIURA,,1383751,0,0,23,,,0,,,,,,,,7/21/2021,,8/11/2021,9/03/2021,,AN,
202100,CMMU-853,CFP TALARA,,547266,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP PIURA,,1418749,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP TALARA,,65362,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
202103,PCIC-103,CFP PIURA,,1413773,0,9,23,,0,0,,12/09/2021,0,,,,,,,11/15/2021,12/12/2021,,AT,
202100,CMMU-853,CFP PIURA,,1418752,0,0,8,,,0,,12/08/2021,1,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP SULLANA,,471273,0,0,8,,,0,,12/08/2021,0.67,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP SULLANA,,1418240,0,0,8,,,0,,12/08/2021,0.5,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP SULLANA,,1418238,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP SULLANA,,779058,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP PIURA,,1418756,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
